"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","Playwright Document Page Verify to work update tabs","chromium","Sun May 03 03:55:08 UTC 2026","passed","Sun May 03 03:55:10 UTC 2026","","DocPage.spec.ts","",""
"","825","file upload practice1","chromium","Sun May 03 03:55:24 UTC 2026","passed","Sun May 03 03:55:25 UTC 2026","","download-test/Download.spec.ts","",""
"","1545","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Sun May 03 03:55:23 UTC 2026","passed","Sun May 03 03:55:24 UTC 2026","","DocPage.spec.ts","",""
"","2146","Playwright Document Page Verify to work copy button at install sec","chromium","Sun May 03 03:55:10 UTC 2026","passed","Sun May 03 03:55:12 UTC 2026","","DocPage.spec.ts","",""
"","1409","Playwright footer training:GetStarted","chromium","Sun May 03 03:55:25 UTC 2026","passed","Sun May 03 03:55:26 UTC 2026","","Footer.spec.ts","",""
"","2132","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Sun May 03 03:55:19 UTC 2026","passed","Sun May 03 03:55:21 UTC 2026","","DocPage.spec.ts","",""
"","1837","Playwright Document Page Verify to work test tabs","chromium","Sun May 03 03:55:08 UTC 2026","passed","Sun May 03 03:55:10 UTC 2026","","DocPage.spec.ts","",""
"","1328","Playwright header training:Docs","chromium","Sun May 03 03:55:29 UTC 2026","passed","Sun May 03 03:55:30 UTC 2026","","Header.spec.ts","",""
"","1524","Playwright header training:Hover menu3","chromium","Sun May 03 03:55:32 UTC 2026","passed","Sun May 03 03:55:33 UTC 2026","","Header.spec.ts","",""
"","6249","tab practice5","chromium","Sun May 03 03:56:00 UTC 2026","passed","Sun May 03 03:56:06 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","904","Playwright header training","chromium","Sun May 03 03:55:33 UTC 2026","passed","Sun May 03 03:55:34 UTC 2026","","Header.spec.ts","",""
"","1266","tab practice4","chromium","Sun May 03 03:55:59 UTC 2026","passed","Sun May 03 03:56:00 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","953","Playwright header training:Logo","chromium","Sun May 03 03:55:28 UTC 2026","passed","Sun May 03 03:55:29 UTC 2026","","Header.spec.ts","",""
"","1424","Playwright Document Page Verify to work report tabs","chromium","Sun May 03 03:55:07 UTC 2026","passed","Sun May 03 03:55:08 UTC 2026","","DocPage.spec.ts","",""
"","2313","Playwright Document Page Verify to work copy button at report sec","chromium","Sun May 03 03:55:12 UTC 2026","passed","Sun May 03 03:55:14 UTC 2026","","DocPage.spec.ts","",""
"","1445","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Sun May 03 03:55:21 UTC 2026","passed","Sun May 03 03:55:23 UTC 2026","","DocPage.spec.ts","",""
"","21046","iFrame practice3","chromium","Sun May 03 03:55:41 UTC 2026","passed","Sun May 03 03:56:02 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1016","Playwright header training:OuterLink","chromium","Sun May 03 03:55:32 UTC 2026","passed","Sun May 03 03:55:33 UTC 2026","","Header.spec.ts","",""
"","1082","Playwright Document Page Verify to work run tabs","chromium","Sun May 03 03:55:05 UTC 2026","passed","Sun May 03 03:55:06 UTC 2026","","DocPage.spec.ts","",""
"","1680","Playwright Document Page Verify to work version tabs","chromium","Sun May 03 03:55:10 UTC 2026","passed","Sun May 03 03:55:11 UTC 2026","","DocPage.spec.ts","",""
"","24972","iFrame practice1","chromium","Sun May 03 03:55:34 UTC 2026","passed","Sun May 03 03:55:59 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2778","Playwright Document Page Verify to work copy button at test sec","chromium","Sun May 03 03:55:14 UTC 2026","passed","Sun May 03 03:55:16 UTC 2026","","DocPage.spec.ts","",""
"","1219","Playwright footer training:Ambassadors","chromium","Sun May 03 03:55:26 UTC 2026","passed","Sun May 03 03:55:28 UTC 2026","","Footer.spec.ts","",""
"","2872","Playwright Document Page Verify to work copy button at version sec","chromium","Sun May 03 03:55:16 UTC 2026","passed","Sun May 03 03:55:19 UTC 2026","","DocPage.spec.ts","",""
"","3524","API mocking practice","chromium","Sun May 03 03:55:04 UTC 2026","passed","Sun May 03 03:55:07 UTC 2026","","api-test/Api.spec.ts","",""
"","6424","iFrame practice2","chromium","Sun May 03 03:55:35 UTC 2026","passed","Sun May 03 03:55:41 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1266","Playwright footer training:LearnVideo","chromium","Sun May 03 03:55:25 UTC 2026","passed","Sun May 03 03:55:26 UTC 2026","","Footer.spec.ts","",""
"","2689","Playwright Document Page Verify to work copy button at update sec","chromium","Sun May 03 03:55:14 UTC 2026","passed","Sun May 03 03:55:17 UTC 2026","","DocPage.spec.ts","",""
"","2246","Playwright Document Page Verify to work copy button at run sec","chromium","Sun May 03 03:55:11 UTC 2026","passed","Sun May 03 03:55:13 UTC 2026","","DocPage.spec.ts","",""
"","1022","Playwright footer training:isOuterLinks","chromium","Sun May 03 03:55:28 UTC 2026","passed","Sun May 03 03:55:29 UTC 2026","","Footer.spec.ts","",""
"","541","file download practice1","chromium","Sun May 03 03:55:24 UTC 2026","passed","Sun May 03 03:55:25 UTC 2026","","download-test/Download.spec.ts","",""
"","1591","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Sun May 03 03:55:21 UTC 2026","passed","Sun May 03 03:55:23 UTC 2026","","DocPage.spec.ts","",""
"","1331","Playwright header training:API","chromium","Sun May 03 03:55:29 UTC 2026","passed","Sun May 03 03:55:30 UTC 2026","","Header.spec.ts","",""
"","4299","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Sun May 03 03:55:17 UTC 2026","passed","Sun May 03 03:55:21 UTC 2026","","DocPage.spec.ts","",""
"","1620","Playwright header search button","chromium","Sun May 03 03:55:33 UTC 2026","passed","Sun May 03 03:55:35 UTC 2026","","Header.spec.ts","",""
"","1666","Playwright header training:Hover menu","chromium","Sun May 03 03:55:30 UTC 2026","passed","Sun May 03 03:55:32 UTC 2026","","Header.spec.ts","",""
