"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1440","tab practice4","chromium","Fri May 01 03:18:21 UTC 2026","passed","Fri May 01 03:18:22 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","3146","iFrame practice1","chromium","Fri May 01 03:18:00 UTC 2026","passed","Fri May 01 03:18:03 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1154","Playwright Document Page Verify to work copy button at run sec","chromium","Fri May 01 03:17:31 UTC 2026","passed","Fri May 01 03:17:32 UTC 2026","","DocPage.spec.ts","",""
"","11906","iFrame practice3","chromium","Fri May 01 03:18:09 UTC 2026","passed","Fri May 01 03:18:21 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1321","Playwright Document Page Verify to work install tabs","chromium","Fri May 01 03:17:23 UTC 2026","passed","Fri May 01 03:17:24 UTC 2026","","DocPage.spec.ts","",""
"","1409","Playwright header training:Hover menu","chromium","Fri May 01 03:17:53 UTC 2026","passed","Fri May 01 03:17:54 UTC 2026","","Header.spec.ts","",""
"","915","Playwright header training:Docs","chromium","Fri May 01 03:17:51 UTC 2026","passed","Fri May 01 03:17:52 UTC 2026","","Header.spec.ts","",""
"","1387","file upload practice1","chromium","Fri May 01 03:17:43 UTC 2026","passed","Fri May 01 03:17:45 UTC 2026","","download-test/Download.spec.ts","",""
"","861","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Fri May 01 03:17:41 UTC 2026","passed","Fri May 01 03:17:42 UTC 2026","","DocPage.spec.ts","",""
"","1207","Playwright Document Page Verify to work copy button at test sec","chromium","Fri May 01 03:17:33 UTC 2026","passed","Fri May 01 03:17:34 UTC 2026","","DocPage.spec.ts","",""
"","652","Playwright header training","chromium","Fri May 01 03:17:58 UTC 2026","passed","Fri May 01 03:17:58 UTC 2026","","Header.spec.ts","",""
"","1053","Playwright Document Page Verify to work run tabs","chromium","Fri May 01 03:17:24 UTC 2026","passed","Fri May 01 03:17:25 UTC 2026","","DocPage.spec.ts","",""
"","1156","Playwright Document Page Verify to work copy button at report sec","chromium","Fri May 01 03:17:32 UTC 2026","passed","Fri May 01 03:17:33 UTC 2026","","DocPage.spec.ts","",""
"","3684","tab practice5","chromium","Fri May 01 03:18:22 UTC 2026","passed","Fri May 01 03:18:26 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1128","Playwright header search button","chromium","Fri May 01 03:17:58 UTC 2026","passed","Fri May 01 03:18:00 UTC 2026","","Header.spec.ts","",""
"","846","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Fri May 01 03:17:43 UTC 2026","passed","Fri May 01 03:17:43 UTC 2026","","DocPage.spec.ts","",""
"","1822","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Fri May 01 03:17:37 UTC 2026","passed","Fri May 01 03:17:39 UTC 2026","","DocPage.spec.ts","",""
"","737","Playwright header training:Logo","chromium","Fri May 01 03:17:50 UTC 2026","passed","Fri May 01 03:17:51 UTC 2026","","Header.spec.ts","",""
"","952","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Fri May 01 03:17:42 UTC 2026","passed","Fri May 01 03:17:42 UTC 2026","","DocPage.spec.ts","",""
"","995","Playwright Document Page Verify to work version tabs","chromium","Fri May 01 03:17:29 UTC 2026","passed","Fri May 01 03:17:30 UTC 2026","","DocPage.spec.ts","",""
"","1419","Playwright header training:Hover menu3","chromium","Fri May 01 03:17:56 UTC 2026","passed","Fri May 01 03:17:57 UTC 2026","","Header.spec.ts","",""
"","1256","Playwright Document Page Verify to work report tabs","chromium","Fri May 01 03:17:25 UTC 2026","passed","Fri May 01 03:17:27 UTC 2026","","DocPage.spec.ts","",""
"","5808","iFrame practice2","chromium","Fri May 01 03:18:03 UTC 2026","passed","Fri May 01 03:18:09 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","3524","API mocking practice","chromium","Fri May 01 03:17:18 UTC 2026","passed","Fri May 01 03:17:22 UTC 2026","","api-test/Api.spec.ts","",""
"","806","Playwright footer training:Ambassadors","chromium","Fri May 01 03:17:49 UTC 2026","passed","Fri May 01 03:17:50 UTC 2026","","Footer.spec.ts","",""
"","6956","tab practice6","chromium","Fri May 01 03:18:26 UTC 2026","passed","Fri May 01 03:18:33 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1049","Playwright Document Page Verify to work update tabs","chromium","Fri May 01 03:17:28 UTC 2026","passed","Fri May 01 03:17:29 UTC 2026","","DocPage.spec.ts","",""
"","1037","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 01 03:17:39 UTC 2026","passed","Fri May 01 03:17:40 UTC 2026","","DocPage.spec.ts","",""
"","1149","Playwright Document Page Verify to work copy button at install sec","chromium","Fri May 01 03:17:30 UTC 2026","passed","Fri May 01 03:17:31 UTC 2026","","DocPage.spec.ts","",""
"","915","Playwright footer training:GetStarted","chromium","Fri May 01 03:17:46 UTC 2026","passed","Fri May 01 03:17:47 UTC 2026","","Footer.spec.ts","",""
"","869","Playwright header training:API","chromium","Fri May 01 03:17:52 UTC 2026","passed","Fri May 01 03:17:53 UTC 2026","","Header.spec.ts","",""
"","1398","Playwright header training:Hover menu2","chromium","Fri May 01 03:17:54 UTC 2026","passed","Fri May 01 03:17:56 UTC 2026","","Header.spec.ts","",""
"","1227","file download practice1","chromium","Fri May 01 03:17:45 UTC 2026","passed","Fri May 01 03:17:46 UTC 2026","","download-test/Download.spec.ts","",""
"","959","Playwright footer training:FeatureVideo","chromium","Fri May 01 03:17:48 UTC 2026","passed","Fri May 01 03:17:49 UTC 2026","","Footer.spec.ts","",""
"","976","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Fri May 01 03:17:40 UTC 2026","passed","Fri May 01 03:17:41 UTC 2026","","DocPage.spec.ts","",""
"","1168","Playwright Document Page Verify to work copy button at version sec","chromium","Fri May 01 03:17:36 UTC 2026","passed","Fri May 01 03:17:37 UTC 2026","","DocPage.spec.ts","",""
"","741","Playwright footer training:isOuterLinks","chromium","Fri May 01 03:17:50 UTC 2026","passed","Fri May 01 03:17:50 UTC 2026","","Footer.spec.ts","",""
"","1056","Playwright Document Page Verify to work test tabs","chromium","Fri May 01 03:17:27 UTC 2026","passed","Fri May 01 03:17:28 UTC 2026","","DocPage.spec.ts","",""
"","1189","Playwright Document Page Verify to work copy button at update sec","chromium","Fri May 01 03:17:34 UTC 2026","passed","Fri May 01 03:17:36 UTC 2026","","DocPage.spec.ts","",""
"","941","Playwright footer training:LearnVideo","chromium","Fri May 01 03:17:47 UTC 2026","passed","Fri May 01 03:17:48 UTC 2026","","Footer.spec.ts","",""
"","598","Playwright header training:OuterLink","chromium","Fri May 01 03:17:57 UTC 2026","passed","Fri May 01 03:17:58 UTC 2026","","Header.spec.ts","",""
