"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2272","Playwright Document Page Verify to work copy button at version sec","chromium","Sat May 02 05:25:32 UTC 2026","passed","Sat May 02 05:25:34 UTC 2026","","DocPage.spec.ts","",""
"","2212","Playwright Document Page Verify to work version tabs","chromium","Sat May 02 05:25:24 UTC 2026","passed","Sat May 02 05:25:27 UTC 2026","","DocPage.spec.ts","",""
"","1622","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Sat May 02 05:25:35 UTC 2026","passed","Sat May 02 05:25:37 UTC 2026","","DocPage.spec.ts","",""
"","2611","Playwright Document Page Verify to work copy button at install sec","chromium","Sat May 02 05:25:25 UTC 2026","passed","Sat May 02 05:25:27 UTC 2026","","DocPage.spec.ts","",""
"","6438","tab practice5","chromium","Sat May 02 05:26:14 UTC 2026","passed","Sat May 02 05:26:21 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","996","tab practice4","chromium","Sat May 02 05:26:14 UTC 2026","passed","Sat May 02 05:26:15 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","3357","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Sat May 02 05:25:32 UTC 2026","passed","Sat May 02 05:25:35 UTC 2026","","DocPage.spec.ts","",""
"","18360","iFrame practice3","chromium","Sat May 02 05:25:55 UTC 2026","passed","Sat May 02 05:26:14 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2219","Playwright Document Page Verify to work update tabs","chromium","Sat May 02 05:25:22 UTC 2026","passed","Sat May 02 05:25:25 UTC 2026","","DocPage.spec.ts","",""
"","1230","Playwright footer training:LearnVideo","chromium","Sat May 02 05:25:39 UTC 2026","passed","Sat May 02 05:25:41 UTC 2026","","Footer.spec.ts","",""
"","26292","iFrame practice1","chromium","Sat May 02 05:25:48 UTC 2026","passed","Sat May 02 05:26:14 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","3548","API mocking practice","chromium","Sat May 02 05:25:18 UTC 2026","passed","Sat May 02 05:25:22 UTC 2026","","api-test/Api.spec.ts","",""
"","1175","Playwright footer training:Ambassadors","chromium","Sat May 02 05:25:41 UTC 2026","passed","Sat May 02 05:25:42 UTC 2026","","Footer.spec.ts","",""
"","1115","Playwright Document Page Verify to work run tabs","chromium","Sat May 02 05:25:20 UTC 2026","passed","Sat May 02 05:25:21 UTC 2026","","DocPage.spec.ts","",""
"","603","file download practice1","chromium","Sat May 02 05:25:39 UTC 2026","passed","Sat May 02 05:25:39 UTC 2026","","download-test/Download.spec.ts","",""
"","6443","iFrame practice2","chromium","Sat May 02 05:25:49 UTC 2026","passed","Sat May 02 05:25:55 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1643","Playwright Document Page Verify to work report tabs","chromium","Sat May 02 05:25:21 UTC 2026","passed","Sat May 02 05:25:22 UTC 2026","","DocPage.spec.ts","",""
"","1036","Playwright header training","chromium","Sat May 02 05:25:47 UTC 2026","passed","Sat May 02 05:25:48 UTC 2026","","Header.spec.ts","",""
"","1411","Playwright header training:Hover menu3","chromium","Sat May 02 05:25:46 UTC 2026","passed","Sat May 02 05:25:47 UTC 2026","","Header.spec.ts","",""
