"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9144","iFrame practice1","chromium","Sun May 03 03:45:32 UTC 2026","passed","Sun May 03 03:45:42 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","787","Playwright header training:API","chromium","Sun May 03 03:45:26 UTC 2026","passed","Sun May 03 03:45:27 UTC 2026","","Header.spec.ts","",""
"","31733","file download practice1","chromium","Sun May 03 03:46:25 UTC 2026","broken","Sun May 03 03:46:57 UTC 2026","","download-test/Download.spec.ts","",""
"","3402","iFrame practice2","chromium","Sun May 03 03:45:42 UTC 2026","passed","Sun May 03 03:45:45 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","3871","API mocking practice","chromium","Sun May 03 03:44:59 UTC 2026","passed","Sun May 03 03:45:03 UTC 2026","","api-test/Api.spec.ts","",""
"","866","Playwright footer training:FeatureVideo","chromium","Sun May 03 03:45:22 UTC 2026","passed","Sun May 03 03:45:23 UTC 2026","","Footer.spec.ts","",""
"","662","Playwright header training","chromium","Sun May 03 03:45:31 UTC 2026","passed","Sun May 03 03:45:31 UTC 2026","","Header.spec.ts","",""
"","2025","Playwright Document Page Verify to work copy button at run sec","chromium","Sun May 03 03:45:07 UTC 2026","passed","Sun May 03 03:45:09 UTC 2026","","DocPage.spec.ts","",""
"","668","Playwright header training:Logo","chromium","Sun May 03 03:45:24 UTC 2026","passed","Sun May 03 03:45:25 UTC 2026","","Header.spec.ts","",""
"","1007","Playwright footer training:GetStarted","chromium","Sun May 03 03:45:20 UTC 2026","passed","Sun May 03 03:45:21 UTC 2026","","Footer.spec.ts","",""
"","3615","tab practice5","chromium","Sun May 03 03:45:59 UTC 2026","passed","Sun May 03 03:46:03 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","19770","tab practice6","chromium","Sun May 03 03:46:03 UTC 2026","passed","Sun May 03 03:46:22 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2048","Playwright Document Page Verify to work copy button at report sec","chromium","Sun May 03 03:45:08 UTC 2026","passed","Sun May 03 03:45:10 UTC 2026","","DocPage.spec.ts","",""
"","1346","Playwright Document Page Verify to work run tabs","chromium","Sun May 03 03:45:01 UTC 2026","passed","Sun May 03 03:45:02 UTC 2026","","DocPage.spec.ts","",""
"","797","file upload practice1","chromium","Sun May 03 03:45:19 UTC 2026","passed","Sun May 03 03:45:20 UTC 2026","","download-test/Download.spec.ts","",""
