"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1144","Playwright Document Page Verify to work copy button at version sec","chromium","Fri May 01 04:40:53 UTC 2026","passed","Fri May 01 04:40:54 UTC 2026","","DocPage.spec.ts","",""
"","664","Playwright header training:Logo","chromium","Fri May 01 04:41:07 UTC 2026","passed","Fri May 01 04:41:08 UTC 2026","","Header.spec.ts","",""
"","12517","iFrame practice3","chromium","Fri May 01 04:41:22 UTC 2026","passed","Fri May 01 04:41:35 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1137","Playwright header training:Hover menu3","chromium","Fri May 01 04:41:12 UTC 2026","passed","Fri May 01 04:41:13 UTC 2026","","Header.spec.ts","",""
"","985","Playwright header search button","chromium","Fri May 01 04:41:15 UTC 2026","passed","Fri May 01 04:41:16 UTC 2026","","Header.spec.ts","",""
"","787","Playwright header training:Docs","chromium","Fri May 01 04:41:08 UTC 2026","passed","Fri May 01 04:41:09 UTC 2026","","Header.spec.ts","",""
"","1172","Playwright Document Page Verify to work copy button at install sec","chromium","Fri May 01 04:40:47 UTC 2026","passed","Fri May 01 04:40:48 UTC 2026","","DocPage.spec.ts","",""
"","1183","Playwright Document Page Verify to work copy button at run sec","chromium","Fri May 01 04:40:48 UTC 2026","passed","Fri May 01 04:40:49 UTC 2026","","DocPage.spec.ts","",""
"","778","Playwright footer training:FeatureVideo","chromium","Fri May 01 04:41:05 UTC 2026","passed","Fri May 01 04:41:06 UTC 2026","","Footer.spec.ts","",""
"","3770","tab practice5","chromium","Fri May 01 04:41:36 UTC 2026","passed","Fri May 01 04:41:40 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1224","Playwright Document Page Verify to work copy button at report sec","chromium","Fri May 01 04:40:49 UTC 2026","passed","Fri May 01 04:40:50 UTC 2026","","DocPage.spec.ts","",""
"","792","Playwright footer training:Ambassadors","chromium","Fri May 01 04:41:06 UTC 2026","passed","Fri May 01 04:41:07 UTC 2026","","Footer.spec.ts","",""
