"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1562","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Fri May 08 05:03:53 UTC 2026","passed","Fri May 08 05:03:54 UTC 2026","","DocPage.spec.ts","",""
"","6949","iFrame practice2","chromium","Fri May 08 05:04:05 UTC 2026","passed","Fri May 08 05:04:12 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1541","Playwright header training:Hover menu2","chromium","Fri May 08 05:04:01 UTC 2026","passed","Fri May 08 05:04:03 UTC 2026","","Header.spec.ts","",""
"","917","Playwright footer training:isOuterLinks","chromium","Fri May 08 05:03:59 UTC 2026","passed","Fri May 08 05:04:00 UTC 2026","","Footer.spec.ts","",""
"","1555","Playwright header search button","chromium","Fri May 08 05:04:04 UTC 2026","passed","Fri May 08 05:04:05 UTC 2026","","Header.spec.ts","",""
"","1750","Playwright Document Page Verify to work update tabs","chromium","Fri May 08 05:03:41 UTC 2026","passed","Fri May 08 05:03:43 UTC 2026","","DocPage.spec.ts","",""
"","1996","Playwright Document Page Verify to work copy button at install sec","chromium","Fri May 08 05:03:43 UTC 2026","passed","Fri May 08 05:03:45 UTC 2026","","DocPage.spec.ts","",""
"","764","tab practice4","chromium","Fri May 08 05:04:34 UTC 2026","passed","Fri May 08 05:04:35 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","26002","tab practice6","chromium","Fri May 08 05:04:39 UTC 2026","passed","Fri May 08 05:05:05 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1522","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Fri May 08 05:03:54 UTC 2026","passed","Fri May 08 05:03:56 UTC 2026","","DocPage.spec.ts","",""
"","660","file upload practice1","chromium","Fri May 08 05:03:55 UTC 2026","passed","Fri May 08 05:03:56 UTC 2026","","download-test/Download.spec.ts","",""
"","1662","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 08 05:03:51 UTC 2026","passed","Fri May 08 05:03:52 UTC 2026","","DocPage.spec.ts","",""
"","1359","Playwright header training:Hover menu","chromium","Fri May 08 05:04:01 UTC 2026","passed","Fri May 08 05:04:02 UTC 2026","","Header.spec.ts","",""
"","3221","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Fri May 08 05:03:49 UTC 2026","passed","Fri May 08 05:03:53 UTC 2026","","DocPage.spec.ts","",""
"","1671","Playwright Document Page Verify to work version tabs","chromium","Fri May 08 05:03:43 UTC 2026","passed","Fri May 08 05:03:44 UTC 2026","","DocPage.spec.ts","",""
"","1035","Playwright Document Page Verify to work run tabs","chromium","Fri May 08 05:03:39 UTC 2026","passed","Fri May 08 05:03:40 UTC 2026","","DocPage.spec.ts","",""
"","927","Playwright header training:Logo","chromium","Fri May 08 05:03:59 UTC 2026","passed","Fri May 08 05:04:00 UTC 2026","","Header.spec.ts","",""
"","21302","iFrame practice3","chromium","Fri May 08 05:04:12 UTC 2026","passed","Fri May 08 05:04:34 UTC 2026","","iframe-test/IFrame.spec.ts","",""
