"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6055","iFrame practice2","chromium","Fri May 08 02:36:56 UTC 2026","passed","Fri May 08 02:37:02 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1270","Playwright footer training:LearnVideo","chromium","Fri May 08 02:36:47 UTC 2026","passed","Fri May 08 02:36:48 UTC 2026","","Footer.spec.ts","",""
"","2469","Playwright Document Page Verify to work copy button at update sec","chromium","Fri May 08 02:36:37 UTC 2026","passed","Fri May 08 02:36:39 UTC 2026","","DocPage.spec.ts","",""
"","1221","tab practice4","chromium","Fri May 08 02:37:22 UTC 2026","passed","Fri May 08 02:37:23 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1541","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Fri May 08 02:36:43 UTC 2026","passed","Fri May 08 02:36:44 UTC 2026","","DocPage.spec.ts","",""
"","1329","Playwright header training:Hover menu","chromium","Fri May 08 02:36:52 UTC 2026","passed","Fri May 08 02:36:53 UTC 2026","","Header.spec.ts","",""
"","1216","Playwright footer training:FeatureVideo","chromium","Fri May 08 02:36:48 UTC 2026","passed","Fri May 08 02:36:49 UTC 2026","","Footer.spec.ts","",""
"","26142","iFrame practice1","chromium","Fri May 08 02:36:55 UTC 2026","passed","Fri May 08 02:37:22 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1340","Playwright header search button","chromium","Fri May 08 02:36:54 UTC 2026","passed","Fri May 08 02:36:56 UTC 2026","","Header.spec.ts","",""
"","1377","Playwright header training:Hover menu3","chromium","Fri May 08 02:36:53 UTC 2026","passed","Fri May 08 02:36:54 UTC 2026","","Header.spec.ts","",""
"","3354","API mocking practice","chromium","Fri May 08 02:36:25 UTC 2026","passed","Fri May 08 02:36:29 UTC 2026","","api-test/Api.spec.ts","",""
"","1863","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 08 02:36:41 UTC 2026","passed","Fri May 08 02:36:43 UTC 2026","","DocPage.spec.ts","",""
"","1768","Playwright Document Page Verify to work update tabs","chromium","Fri May 08 02:36:31 UTC 2026","passed","Fri May 08 02:36:32 UTC 2026","","DocPage.spec.ts","",""
"","18574","tab practice6","chromium","Fri May 08 02:37:23 UTC 2026","passed","Fri May 08 02:37:41 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1669","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Fri May 08 02:36:43 UTC 2026","passed","Fri May 08 02:36:44 UTC 2026","","DocPage.spec.ts","",""
"","2286","Playwright Document Page Verify to work copy button at version sec","chromium","Fri May 08 02:36:39 UTC 2026","passed","Fri May 08 02:36:41 UTC 2026","","DocPage.spec.ts","",""
"","535","file download practice1","chromium","Fri May 08 02:36:46 UTC 2026","passed","Fri May 08 02:36:47 UTC 2026","","download-test/Download.spec.ts","",""
"","1274","Playwright header training:Docs","chromium","Fri May 08 02:36:50 UTC 2026","passed","Fri May 08 02:36:52 UTC 2026","","Header.spec.ts","",""
"","1046","Playwright Document Page Verify to work run tabs","chromium","Fri May 08 02:36:28 UTC 2026","passed","Fri May 08 02:36:29 UTC 2026","","DocPage.spec.ts","",""
"","1081","Playwright header training","chromium","Fri May 08 02:36:54 UTC 2026","passed","Fri May 08 02:36:55 UTC 2026","","Header.spec.ts","",""
"","19815","iFrame practice3","chromium","Fri May 08 02:37:02 UTC 2026","passed","Fri May 08 02:37:22 UTC 2026","","iframe-test/IFrame.spec.ts","",""
