"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1514","Playwright header search button","chromium","Sat May 02 05:30:47 UTC 2026","passed","Sat May 02 05:30:48 UTC 2026","","Header.spec.ts","",""
"","1254","Playwright footer training:FeatureVideo","chromium","Sat May 02 05:30:39 UTC 2026","passed","Sat May 02 05:30:41 UTC 2026","","Footer.spec.ts","",""
"","1768","Playwright footer training:GetStarted","chromium","Sat May 02 05:30:38 UTC 2026","passed","Sat May 02 05:30:40 UTC 2026","","Footer.spec.ts","",""
"","1287","Playwright Document Page Verify to work run tabs","chromium","Sat May 02 05:30:18 UTC 2026","passed","Sat May 02 05:30:20 UTC 2026","","DocPage.spec.ts","",""
"","1866","Playwright Document Page Verify to work copy button at update sec","chromium","Sat May 02 05:30:27 UTC 2026","passed","Sat May 02 05:30:29 UTC 2026","","DocPage.spec.ts","",""
"","6071","tab practice5","chromium","Sat May 02 05:31:07 UTC 2026","passed","Sat May 02 05:31:13 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1684","Playwright header training:Hover menu2","chromium","Sat May 02 05:30:43 UTC 2026","passed","Sat May 02 05:30:45 UTC 2026","","Header.spec.ts","",""
"","2020","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Sat May 02 05:30:34 UTC 2026","passed","Sat May 02 05:30:36 UTC 2026","","DocPage.spec.ts","",""
"","1759","Playwright header training:Hover menu3","chromium","Sat May 02 05:30:45 UTC 2026","passed","Sat May 02 05:30:46 UTC 2026","","Header.spec.ts","",""
"","1787","Playwright Document Page Verify to work version tabs","chromium","Sat May 02 05:30:23 UTC 2026","passed","Sat May 02 05:30:24 UTC 2026","","DocPage.spec.ts","",""
"","1648","Playwright Document Page Verify to work install tabs","chromium","Sat May 02 05:30:17 UTC 2026","passed","Sat May 02 05:30:18 UTC 2026","","DocPage.spec.ts","",""
"","1680","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Sat May 02 05:30:33 UTC 2026","passed","Sat May 02 05:30:34 UTC 2026","","DocPage.spec.ts","",""
