"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","583","file download practice1","chromium","Fri May 01 03:14:48 UTC 2026","passed","Fri May 01 03:14:49 UTC 2026","","download-test/Download.spec.ts","",""
"","901","Playwright Document Page Verify to work test tabs","chromium","Fri May 01 03:14:34 UTC 2026","passed","Fri May 01 03:14:35 UTC 2026","","DocPage.spec.ts","",""
"","860","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 01 03:14:44 UTC 2026","passed","Fri May 01 03:14:45 UTC 2026","","DocPage.spec.ts","",""
"","713","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Fri May 01 03:14:47 UTC 2026","passed","Fri May 01 03:14:48 UTC 2026","","DocPage.spec.ts","",""
"","10326","iFrame practice3","chromium","Fri May 01 03:15:07 UTC 2026","passed","Fri May 01 03:15:17 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","778","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Fri May 01 03:14:46 UTC 2026","passed","Fri May 01 03:14:47 UTC 2026","","DocPage.spec.ts","",""
"","513","Playwright header training:Logo","chromium","Fri May 01 03:14:52 UTC 2026","passed","Fri May 01 03:14:53 UTC 2026","","Header.spec.ts","",""
"","775","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Fri May 01 03:14:45 UTC 2026","passed","Fri May 01 03:14:45 UTC 2026","","DocPage.spec.ts","",""
"","1444","Playwright header training:Hover menu2","chromium","Fri May 01 03:14:55 UTC 2026","passed","Fri May 01 03:14:56 UTC 2026","","Header.spec.ts","",""
"","605","Playwright footer training:LearnVideo","chromium","Fri May 01 03:14:50 UTC 2026","passed","Fri May 01 03:14:50 UTC 2026","","Footer.spec.ts","",""
"","620","Playwright header training:API","chromium","Fri May 01 03:14:53 UTC 2026","passed","Fri May 01 03:14:54 UTC 2026","","Header.spec.ts","",""
"","3491","API mocking practice","chromium","Fri May 01 03:14:27 UTC 2026","passed","Fri May 01 03:14:30 UTC 2026","","api-test/Api.spec.ts","",""
"","495","Playwright header training","chromium","Fri May 01 03:14:58 UTC 2026","passed","Fri May 01 03:14:58 UTC 2026","","Header.spec.ts","",""
"","958","Playwright Document Page Verify to work copy button at run sec","chromium","Fri May 01 03:14:37 UTC 2026","passed","Fri May 01 03:14:38 UTC 2026","","DocPage.spec.ts","",""
"","2563","iFrame practice2","chromium","Fri May 01 03:15:04 UTC 2026","passed","Fri May 01 03:15:07 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","626","Playwright footer training:FeatureVideo","chromium","Fri May 01 03:14:50 UTC 2026","passed","Fri May 01 03:14:51 UTC 2026","","Footer.spec.ts","",""
"","600","Playwright footer training:Ambassadors","chromium","Fri May 01 03:14:51 UTC 2026","passed","Fri May 01 03:14:51 UTC 2026","","Footer.spec.ts","",""
"","565","Playwright footer training:isOuterLinks","chromium","Fri May 01 03:14:51 UTC 2026","passed","Fri May 01 03:14:52 UTC 2026","","Footer.spec.ts","",""
"","1077","Playwright header training:Hover menu3","chromium","Fri May 01 03:14:56 UTC 2026","passed","Fri May 01 03:14:57 UTC 2026","","Header.spec.ts","",""
"","823","Playwright header search button","chromium","Fri May 01 03:14:58 UTC 2026","passed","Fri May 01 03:14:59 UTC 2026","","Header.spec.ts","",""
"","836","Playwright Document Page Verify to work update tabs","chromium","Fri May 01 03:14:35 UTC 2026","passed","Fri May 01 03:14:36 UTC 2026","","DocPage.spec.ts","",""
"","996","Playwright Document Page Verify to work copy button at report sec","chromium","Fri May 01 03:14:38 UTC 2026","passed","Fri May 01 03:14:39 UTC 2026","","DocPage.spec.ts","",""
"","628","file upload practice1","chromium","Fri May 01 03:14:48 UTC 2026","passed","Fri May 01 03:14:48 UTC 2026","","download-test/Download.spec.ts","",""
"","966","Playwright Document Page Verify to work copy button at version sec","chromium","Fri May 01 03:14:41 UTC 2026","passed","Fri May 01 03:14:42 UTC 2026","","DocPage.spec.ts","",""
"","873","Playwright Document Page Verify to work report tabs","chromium","Fri May 01 03:14:33 UTC 2026","passed","Fri May 01 03:14:34 UTC 2026","","DocPage.spec.ts","",""
"","967","Playwright Document Page Verify to work copy button at install sec","chromium","Fri May 01 03:14:36 UTC 2026","passed","Fri May 01 03:14:37 UTC 2026","","DocPage.spec.ts","",""
"","608","tab practice4","chromium","Fri May 01 03:15:17 UTC 2026","passed","Fri May 01 03:15:18 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1005","Playwright Document Page Verify to work copy button at test sec","chromium","Fri May 01 03:14:39 UTC 2026","passed","Fri May 01 03:14:40 UTC 2026","","DocPage.spec.ts","",""
"","859","Playwright Document Page Verify to work run tabs","chromium","Fri May 01 03:14:32 UTC 2026","passed","Fri May 01 03:14:33 UTC 2026","","DocPage.spec.ts","",""
"","824","Playwright Document Page Verify to work version tabs","chromium","Fri May 01 03:14:36 UTC 2026","passed","Fri May 01 03:14:36 UTC 2026","","DocPage.spec.ts","",""
"","4975","iFrame practice1","chromium","Fri May 01 03:14:59 UTC 2026","passed","Fri May 01 03:15:04 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","499","Playwright header training:OuterLink","chromium","Fri May 01 03:14:57 UTC 2026","passed","Fri May 01 03:14:58 UTC 2026","","Header.spec.ts","",""
"","688","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Fri May 01 03:14:45 UTC 2026","passed","Fri May 01 03:14:46 UTC 2026","","DocPage.spec.ts","",""
"","604","Playwright header training:Docs","chromium","Fri May 01 03:14:53 UTC 2026","passed","Fri May 01 03:14:53 UTC 2026","","Header.spec.ts","",""
"","874","Playwright Document Page Verify to work install tabs","chromium","Fri May 01 03:14:31 UTC 2026","passed","Fri May 01 03:14:32 UTC 2026","","DocPage.spec.ts","",""
"","13817","tab practice6","chromium","Fri May 01 03:15:21 UTC 2026","passed","Fri May 01 03:15:34 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1477","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Fri May 01 03:14:42 UTC 2026","passed","Fri May 01 03:14:44 UTC 2026","","DocPage.spec.ts","",""
"","2898","tab practice5","chromium","Fri May 01 03:15:18 UTC 2026","passed","Fri May 01 03:15:21 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","694","Playwright footer training:GetStarted","chromium","Fri May 01 03:14:49 UTC 2026","passed","Fri May 01 03:14:50 UTC 2026","","Footer.spec.ts","",""
"","1002","Playwright header training:Hover menu","chromium","Fri May 01 03:14:54 UTC 2026","passed","Fri May 01 03:14:55 UTC 2026","","Header.spec.ts","",""
"","999","Playwright Document Page Verify to work copy button at update sec","chromium","Fri May 01 03:14:40 UTC 2026","passed","Fri May 01 03:14:41 UTC 2026","","DocPage.spec.ts","",""
