"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1113","Playwright header search button","chromium","Sat May 02 02:06:50 UTC 2026","passed","Sat May 02 02:06:51 UTC 2026","","Header.spec.ts","",""
"","1290","Playwright Document Page Verify to work copy button at test sec","chromium","Sat May 02 02:06:25 UTC 2026","passed","Sat May 02 02:06:26 UTC 2026","","DocPage.spec.ts","",""
"","708","Playwright footer training:LearnVideo","chromium","Sat May 02 02:06:39 UTC 2026","passed","Sat May 02 02:06:40 UTC 2026","","Footer.spec.ts","",""
"","1284","Playwright Document Page Verify to work copy button at report sec","chromium","Sat May 02 02:06:23 UTC 2026","passed","Sat May 02 02:06:25 UTC 2026","","DocPage.spec.ts","",""
"","3881","iFrame practice2","chromium","Sat May 02 02:06:58 UTC 2026","passed","Sat May 02 02:07:02 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1056","Playwright Document Page Verify to work version tabs","chromium","Sat May 02 02:06:20 UTC 2026","passed","Sat May 02 02:06:21 UTC 2026","","DocPage.spec.ts","",""
"","1192","Playwright Document Page Verify to work copy button at version sec","chromium","Sat May 02 02:06:27 UTC 2026","passed","Sat May 02 02:06:28 UTC 2026","","DocPage.spec.ts","",""
"","1514","Playwright header training:Hover menu","chromium","Sat May 02 02:06:44 UTC 2026","passed","Sat May 02 02:06:46 UTC 2026","","Header.spec.ts","",""
"","1018","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Sat May 02 02:06:31 UTC 2026","passed","Sat May 02 02:06:32 UTC 2026","","DocPage.spec.ts","",""
"","722","Playwright footer training:isOuterLinks","chromium","Sat May 02 02:06:41 UTC 2026","passed","Sat May 02 02:06:42 UTC 2026","","Footer.spec.ts","",""
"","1228","Playwright Document Page Verify to work copy button at install sec","chromium","Sat May 02 02:06:21 UTC 2026","passed","Sat May 02 02:06:22 UTC 2026","","DocPage.spec.ts","",""
