"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1676","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Sat May 02 05:38:29 UTC 2026","passed","Sat May 02 05:38:30 UTC 2026","","DocPage.spec.ts","",""
"","1860","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Sat May 02 05:38:30 UTC 2026","passed","Sat May 02 05:38:32 UTC 2026","","DocPage.spec.ts","",""
"","6829","iFrame practice2","chromium","Sat May 02 05:38:44 UTC 2026","passed","Sat May 02 05:38:51 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2170","Playwright Document Page Verify to work copy button at test sec","chromium","Sat May 02 05:38:22 UTC 2026","passed","Sat May 02 05:38:24 UTC 2026","","DocPage.spec.ts","",""
"","857","Playwright header training:Logo","chromium","Sat May 02 05:38:35 UTC 2026","passed","Sat May 02 05:38:36 UTC 2026","","Header.spec.ts","",""
"","3405","API mocking practice","chromium","Sat May 02 05:38:13 UTC 2026","passed","Sat May 02 05:38:16 UTC 2026","","api-test/Api.spec.ts","",""
"","582","file download practice1","chromium","Sat May 02 05:38:32 UTC 2026","passed","Sat May 02 05:38:33 UTC 2026","","download-test/Download.spec.ts","",""
"","15907","tab practice6","chromium","Sat May 02 05:39:09 UTC 2026","passed","Sat May 02 05:39:25 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","4148","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Sat May 02 05:38:24 UTC 2026","passed","Sat May 02 05:38:29 UTC 2026","","DocPage.spec.ts","",""
"","3480","Playwright header search button","chromium","Sat May 02 05:38:40 UTC 2026","passed","Sat May 02 05:38:44 UTC 2026","","Header.spec.ts","",""
"","1292","Playwright Document Page Verify to work report tabs","chromium","Sat May 02 05:38:15 UTC 2026","passed","Sat May 02 05:38:16 UTC 2026","","DocPage.spec.ts","",""
"","1159","Playwright footer training:FeatureVideo","chromium","Sat May 02 05:38:34 UTC 2026","passed","Sat May 02 05:38:35 UTC 2026","","Footer.spec.ts","",""
"","2075","Playwright Document Page Verify to work copy button at run sec","chromium","Sat May 02 05:38:20 UTC 2026","passed","Sat May 02 05:38:22 UTC 2026","","DocPage.spec.ts","",""
"","1487","Playwright header training:Hover menu2","chromium","Sat May 02 05:38:38 UTC 2026","passed","Sat May 02 05:38:39 UTC 2026","","Header.spec.ts","",""
"","1683","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Sat May 02 05:38:30 UTC 2026","passed","Sat May 02 05:38:32 UTC 2026","","DocPage.spec.ts","",""
"","1225","Playwright footer training:LearnVideo","chromium","Sat May 02 05:38:33 UTC 2026","passed","Sat May 02 05:38:34 UTC 2026","","Footer.spec.ts","",""
"","1896","Playwright Document Page Verify to work test tabs","chromium","Sat May 02 05:38:16 UTC 2026","passed","Sat May 02 05:38:18 UTC 2026","","DocPage.spec.ts","",""
"","1232","Playwright header training:Docs","chromium","Sat May 02 05:38:36 UTC 2026","passed","Sat May 02 05:38:37 UTC 2026","","Header.spec.ts","",""
"","18929","iFrame practice3","chromium","Sat May 02 05:38:51 UTC 2026","passed","Sat May 02 05:39:10 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1635","Playwright Document Page Verify to work version tabs","chromium","Sat May 02 05:38:18 UTC 2026","passed","Sat May 02 05:38:20 UTC 2026","","DocPage.spec.ts","",""
"","998","Playwright header training","chromium","Sat May 02 05:38:40 UTC 2026","passed","Sat May 02 05:38:41 UTC 2026","","Header.spec.ts","",""
"","2660","Playwright Document Page Verify to work copy button at version sec","chromium","Sat May 02 05:38:24 UTC 2026","passed","Sat May 02 05:38:27 UTC 2026","","DocPage.spec.ts","",""
"","987","Playwright footer training:isOuterLinks","chromium","Sat May 02 05:38:35 UTC 2026","passed","Sat May 02 05:38:36 UTC 2026","","Footer.spec.ts","",""
"","2190","Playwright Document Page Verify to work copy button at update sec","chromium","Sat May 02 05:38:22 UTC 2026","passed","Sat May 02 05:38:24 UTC 2026","","DocPage.spec.ts","",""
"","880","Playwright header training:OuterLink","chromium","Sat May 02 05:38:39 UTC 2026","passed","Sat May 02 05:38:40 UTC 2026","","Header.spec.ts","",""
"","1288","Playwright header training:Hover menu","chromium","Sat May 02 05:38:37 UTC 2026","passed","Sat May 02 05:38:39 UTC 2026","","Header.spec.ts","",""
"","6281","tab practice5","chromium","Sat May 02 05:39:02 UTC 2026","passed","Sat May 02 05:39:09 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1046","Playwright Document Page Verify to work run tabs","chromium","Sat May 02 05:38:14 UTC 2026","passed","Sat May 02 05:38:15 UTC 2026","","DocPage.spec.ts","",""
"","1242","Playwright footer training:Ambassadors","chromium","Sat May 02 05:38:34 UTC 2026","passed","Sat May 02 05:38:35 UTC 2026","","Footer.spec.ts","",""
"","1918","Playwright Document Page Verify to work copy button at install sec","chromium","Sat May 02 05:38:18 UTC 2026","passed","Sat May 02 05:38:20 UTC 2026","","DocPage.spec.ts","",""
"","1299","tab practice4","chromium","Sat May 02 05:39:01 UTC 2026","passed","Sat May 02 05:39:02 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","2045","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Sat May 02 05:38:27 UTC 2026","passed","Sat May 02 05:38:29 UTC 2026","","DocPage.spec.ts","",""
"","704","file upload practice1","chromium","Sat May 02 05:38:32 UTC 2026","passed","Sat May 02 05:38:33 UTC 2026","","download-test/Download.spec.ts","",""
"","19978","iFrame practice1","chromium","Sat May 02 05:38:41 UTC 2026","passed","Sat May 02 05:39:01 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1274","Playwright header training:API","chromium","Sat May 02 05:38:36 UTC 2026","passed","Sat May 02 05:38:38 UTC 2026","","Header.spec.ts","",""
"","1438","Playwright header training:Hover menu3","chromium","Sat May 02 05:38:39 UTC 2026","passed","Sat May 02 05:38:40 UTC 2026","","Header.spec.ts","",""
"","1362","Playwright footer training:GetStarted","chromium","Sat May 02 05:38:33 UTC 2026","passed","Sat May 02 05:38:34 UTC 2026","","Footer.spec.ts","",""
"","1638","Playwright Document Page Verify to work update tabs","chromium","Sat May 02 05:38:16 UTC 2026","passed","Sat May 02 05:38:18 UTC 2026","","DocPage.spec.ts","",""
