"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","849","Playwright header training:OuterLink","chromium","Fri May 08 05:13:20 UTC 2026","passed","Fri May 08 05:13:21 UTC 2026","","Header.spec.ts","",""
"","811","file upload practice1","chromium","Fri May 08 05:13:13 UTC 2026","passed","Fri May 08 05:13:13 UTC 2026","","download-test/Download.spec.ts","",""
"","1541","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Fri May 08 05:13:11 UTC 2026","passed","Fri May 08 05:13:13 UTC 2026","","DocPage.spec.ts","",""
"","1195","Playwright header training:API","chromium","Fri May 08 05:13:17 UTC 2026","passed","Fri May 08 05:13:18 UTC 2026","","Header.spec.ts","",""
"","1598","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 08 05:13:08 UTC 2026","passed","Fri May 08 05:13:10 UTC 2026","","DocPage.spec.ts","",""
"","1379","tab practice4","chromium","Fri May 08 05:13:51 UTC 2026","passed","Fri May 08 05:13:53 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1331","Playwright footer training:GetStarted","chromium","Fri May 08 05:13:13 UTC 2026","passed","Fri May 08 05:13:15 UTC 2026","","Footer.spec.ts","",""
"","896","Playwright header training:Logo","chromium","Fri May 08 05:13:16 UTC 2026","passed","Fri May 08 05:13:17 UTC 2026","","Header.spec.ts","",""
"","1807","Playwright Document Page Verify to work update tabs","chromium","Fri May 08 05:12:59 UTC 2026","passed","Fri May 08 05:13:01 UTC 2026","","DocPage.spec.ts","",""
"","1240","Playwright footer training:FeatureVideo","chromium","Fri May 08 05:13:15 UTC 2026","passed","Fri May 08 05:13:16 UTC 2026","","Footer.spec.ts","",""
"","660","file download practice1","chromium","Fri May 08 05:13:13 UTC 2026","passed","Fri May 08 05:13:13 UTC 2026","","download-test/Download.spec.ts","",""
"","2042","Playwright Document Page Verify to work copy button at run sec","chromium","Fri May 08 05:13:02 UTC 2026","passed","Fri May 08 05:13:04 UTC 2026","","DocPage.spec.ts","",""
"","1428","Playwright Document Page Verify to work install tabs","chromium","Fri May 08 05:12:55 UTC 2026","passed","Fri May 08 05:12:56 UTC 2026","","DocPage.spec.ts","",""
"","1577","Playwright header search button","chromium","Fri May 08 05:13:21 UTC 2026","passed","Fri May 08 05:13:23 UTC 2026","","Header.spec.ts","",""
"","1040","Playwright footer training:isOuterLinks","chromium","Fri May 08 05:13:16 UTC 2026","passed","Fri May 08 05:13:17 UTC 2026","","Footer.spec.ts","",""
"","1659","Playwright Document Page Verify to work version tabs","chromium","Fri May 08 05:13:00 UTC 2026","passed","Fri May 08 05:13:02 UTC 2026","","DocPage.spec.ts","",""
"","5279","tab practice5","chromium","Fri May 08 05:13:53 UTC 2026","passed","Fri May 08 05:13:58 UTC 2026","","iframe-test/IFrame.spec.ts","",""
