"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1135","Playwright header training:Hover menu2","chromium","Fri May 01 03:30:40 UTC 2026","passed","Fri May 01 03:30:41 UTC 2026","","Header.spec.ts","",""
"","997","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Fri May 01 03:30:30 UTC 2026","passed","Fri May 01 03:30:31 UTC 2026","","DocPage.spec.ts","",""
"","1055","Playwright Document Page Verify to work install tabs","chromium","Fri May 01 03:30:10 UTC 2026","passed","Fri May 01 03:30:11 UTC 2026","","DocPage.spec.ts","",""
"","604","Playwright header training:OuterLink","chromium","Fri May 01 03:30:42 UTC 2026","passed","Fri May 01 03:30:43 UTC 2026","","Header.spec.ts","",""
"","16097","tab practice6","chromium","Fri May 01 03:31:13 UTC 2026","passed","Fri May 01 03:31:29 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","763","Playwright header training:API","chromium","Fri May 01 03:30:38 UTC 2026","passed","Fri May 01 03:30:39 UTC 2026","","Header.spec.ts","",""
"","1166","Playwright Document Page Verify to work copy button at version sec","chromium","Fri May 01 03:30:24 UTC 2026","passed","Fri May 01 03:30:25 UTC 2026","","DocPage.spec.ts","",""
"","1223","Playwright Document Page Verify to work copy button at report sec","chromium","Fri May 01 03:30:20 UTC 2026","passed","Fri May 01 03:30:21 UTC 2026","","DocPage.spec.ts","",""
"","1019","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 01 03:30:27 UTC 2026","passed","Fri May 01 03:30:28 UTC 2026","","DocPage.spec.ts","",""
"","3339","API mocking practice","chromium","Fri May 01 03:30:07 UTC 2026","passed","Fri May 01 03:30:10 UTC 2026","","api-test/Api.spec.ts","",""
"","777","Playwright header training:Docs","chromium","Fri May 01 03:30:37 UTC 2026","passed","Fri May 01 03:30:38 UTC 2026","","Header.spec.ts","",""
"","886","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Fri May 01 03:30:29 UTC 2026","passed","Fri May 01 03:30:30 UTC 2026","","DocPage.spec.ts","",""
"","1122","Playwright Document Page Verify to work run tabs","chromium","Fri May 01 03:30:11 UTC 2026","passed","Fri May 01 03:30:12 UTC 2026","","DocPage.spec.ts","",""
"","1158","Playwright Document Page Verify to work version tabs","chromium","Fri May 01 03:30:16 UTC 2026","passed","Fri May 01 03:30:17 UTC 2026","","DocPage.spec.ts","",""
"","674","Playwright header training:Logo","chromium","Fri May 01 03:30:37 UTC 2026","passed","Fri May 01 03:30:37 UTC 2026","","Header.spec.ts","",""
"","1435","Playwright Document Page Verify to work copy button at install sec","chromium","Fri May 01 03:30:17 UTC 2026","passed","Fri May 01 03:30:19 UTC 2026","","DocPage.spec.ts","",""
"","8440","iFrame practice1","chromium","Fri May 01 03:30:45 UTC 2026","passed","Fri May 01 03:30:53 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","517","file upload practice1","chromium","Fri May 01 03:30:32 UTC 2026","passed","Fri May 01 03:30:32 UTC 2026","","download-test/Download.spec.ts","",""
"","702","Playwright footer training:isOuterLinks","chromium","Fri May 01 03:30:36 UTC 2026","passed","Fri May 01 03:30:37 UTC 2026","","Footer.spec.ts","",""
"","852","Playwright footer training:GetStarted","chromium","Fri May 01 03:30:33 UTC 2026","passed","Fri May 01 03:30:34 UTC 2026","","Footer.spec.ts","",""
"","802","Playwright footer training:Ambassadors","chromium","Fri May 01 03:30:35 UTC 2026","passed","Fri May 01 03:30:36 UTC 2026","","Footer.spec.ts","",""
"","1230","Playwright Document Page Verify to work copy button at test sec","chromium","Fri May 01 03:30:21 UTC 2026","passed","Fri May 01 03:30:22 UTC 2026","","DocPage.spec.ts","",""
"","1091","Playwright header training:Hover menu3","chromium","Fri May 01 03:30:41 UTC 2026","passed","Fri May 01 03:30:42 UTC 2026","","Header.spec.ts","",""
"","1237","Playwright header search button","chromium","Fri May 01 03:30:44 UTC 2026","passed","Fri May 01 03:30:45 UTC 2026","","Header.spec.ts","",""
"","667","Playwright header training","chromium","Fri May 01 03:30:43 UTC 2026","passed","Fri May 01 03:30:44 UTC 2026","","Header.spec.ts","",""
"","1210","Playwright Document Page Verify to work copy button at update sec","chromium","Fri May 01 03:30:22 UTC 2026","passed","Fri May 01 03:30:24 UTC 2026","","DocPage.spec.ts","",""
"","1908","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Fri May 01 03:30:25 UTC 2026","passed","Fri May 01 03:30:27 UTC 2026","","DocPage.spec.ts","",""
"","1216","Playwright Document Page Verify to work report tabs","chromium","Fri May 01 03:30:12 UTC 2026","passed","Fri May 01 03:30:14 UTC 2026","","DocPage.spec.ts","",""
"","3350","iFrame practice2","chromium","Fri May 01 03:30:53 UTC 2026","passed","Fri May 01 03:30:57 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","840","Playwright footer training:LearnVideo","chromium","Fri May 01 03:30:34 UTC 2026","passed","Fri May 01 03:30:34 UTC 2026","","Footer.spec.ts","",""
"","1237","Playwright Document Page Verify to work copy button at run sec","chromium","Fri May 01 03:30:19 UTC 2026","passed","Fri May 01 03:30:20 UTC 2026","","DocPage.spec.ts","",""
"","11904","iFrame practice3","chromium","Fri May 01 03:30:57 UTC 2026","passed","Fri May 01 03:31:09 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1008","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Fri May 01 03:30:28 UTC 2026","passed","Fri May 01 03:30:29 UTC 2026","","DocPage.spec.ts","",""
"","3553","tab practice5","chromium","Fri May 01 03:31:09 UTC 2026","passed","Fri May 01 03:31:13 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","916","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Fri May 01 03:30:31 UTC 2026","passed","Fri May 01 03:30:32 UTC 2026","","DocPage.spec.ts","",""
"","857","Playwright footer training:FeatureVideo","chromium","Fri May 01 03:30:34 UTC 2026","passed","Fri May 01 03:30:35 UTC 2026","","Footer.spec.ts","",""
"","531","tab practice4","chromium","Fri May 01 03:31:09 UTC 2026","passed","Fri May 01 03:31:09 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1177","Playwright Document Page Verify to work update tabs","chromium","Fri May 01 03:30:15 UTC 2026","passed","Fri May 01 03:30:16 UTC 2026","","DocPage.spec.ts","",""
"","1046","Playwright header training:Hover menu","chromium","Fri May 01 03:30:39 UTC 2026","passed","Fri May 01 03:30:40 UTC 2026","","Header.spec.ts","",""
"","1273","Playwright Document Page Verify to work test tabs","chromium","Fri May 01 03:30:14 UTC 2026","passed","Fri May 01 03:30:15 UTC 2026","","DocPage.spec.ts","",""
"","524","file download practice1","chromium","Fri May 01 03:30:32 UTC 2026","passed","Fri May 01 03:30:33 UTC 2026","","download-test/Download.spec.ts","",""
