"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1412","Playwright Document Page Verify to work copy button at run sec","chromium","Fri May 01 04:51:32 UTC 2026","passed","Fri May 01 04:51:33 UTC 2026","","DocPage.spec.ts","",""
"","1207","Playwright Document Page Verify to work copy button at version sec","chromium","Fri May 01 04:51:37 UTC 2026","passed","Fri May 01 04:51:39 UTC 2026","","DocPage.spec.ts","",""
"","1314","Playwright Document Page Verify to work copy button at install sec","chromium","Fri May 01 04:51:31 UTC 2026","passed","Fri May 01 04:51:32 UTC 2026","","DocPage.spec.ts","",""
"","1103","Playwright Document Page Verify to work test tabs","chromium","Fri May 01 04:51:27 UTC 2026","passed","Fri May 01 04:51:28 UTC 2026","","DocPage.spec.ts","",""
"","11852","iFrame practice3","chromium","Fri May 01 04:52:11 UTC 2026","passed","Fri May 01 04:52:23 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","727","Playwright header training","chromium","Fri May 01 04:51:57 UTC 2026","passed","Fri May 01 04:51:58 UTC 2026","","Header.spec.ts","",""
"","8015","iFrame practice1","chromium","Fri May 01 04:52:00 UTC 2026","passed","Fri May 01 04:52:08 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","807","Playwright footer training:FeatureVideo","chromium","Fri May 01 04:51:48 UTC 2026","passed","Fri May 01 04:51:49 UTC 2026","","Footer.spec.ts","",""
"","978","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Fri May 01 04:51:42 UTC 2026","passed","Fri May 01 04:51:43 UTC 2026","","DocPage.spec.ts","",""
"","624","Playwright header training:OuterLink","chromium","Fri May 01 04:51:57 UTC 2026","passed","Fri May 01 04:51:57 UTC 2026","","Header.spec.ts","",""
"","3393","tab practice5","chromium","Fri May 01 04:52:24 UTC 2026","passed","Fri May 01 04:52:27 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","668","Playwright header training:Logo","chromium","Fri May 01 04:51:51 UTC 2026","passed","Fri May 01 04:51:51 UTC 2026","","Header.spec.ts","",""
"","1128","Playwright header training:Hover menu","chromium","Fri May 01 04:51:53 UTC 2026","passed","Fri May 01 04:51:54 UTC 2026","","Header.spec.ts","",""
"","1045","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Fri May 01 04:51:41 UTC 2026","passed","Fri May 01 04:51:42 UTC 2026","","DocPage.spec.ts","",""
"","3344","API mocking practice","chromium","Fri May 01 04:51:19 UTC 2026","passed","Fri May 01 04:51:23 UTC 2026","","api-test/Api.spec.ts","",""
"","3111","iFrame practice2","chromium","Fri May 01 04:52:08 UTC 2026","passed","Fri May 01 04:52:11 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1236","Playwright header training:Hover menu3","chromium","Fri May 01 04:51:55 UTC 2026","passed","Fri May 01 04:51:57 UTC 2026","","Header.spec.ts","",""
"","683","tab practice4","chromium","Fri May 01 04:52:23 UTC 2026","passed","Fri May 01 04:52:24 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","758","Playwright header training:API","chromium","Fri May 01 04:51:52 UTC 2026","passed","Fri May 01 04:51:53 UTC 2026","","Header.spec.ts","",""
"","639","file download practice1","chromium","Fri May 01 04:51:46 UTC 2026","passed","Fri May 01 04:51:47 UTC 2026","","download-test/Download.spec.ts","",""
"","727","Playwright footer training:isOuterLinks","chromium","Fri May 01 04:51:50 UTC 2026","passed","Fri May 01 04:51:51 UTC 2026","","Footer.spec.ts","",""
"","1185","Playwright Document Page Verify to work version tabs","chromium","Fri May 01 04:51:29 UTC 2026","passed","Fri May 01 04:51:31 UTC 2026","","DocPage.spec.ts","",""
"","906","Playwright footer training:GetStarted","chromium","Fri May 01 04:51:47 UTC 2026","passed","Fri May 01 04:51:48 UTC 2026","","Footer.spec.ts","",""
"","1833","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Fri May 01 04:51:39 UTC 2026","passed","Fri May 01 04:51:41 UTC 2026","","DocPage.spec.ts","",""
